file,duration,source
data/processed/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0000.wav,4.93,data/raw/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0000.flac
data/processed/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0001.wav,3.84,data/raw/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0001.flac
data/processed/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0002.wav,11.36,data/raw/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0002.flac
data/processed/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0003.wav,8.86,data/raw/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0003.flac
data/processed/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0004.wav,28.45,data/raw/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0004.flac
data/processed/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0005.wav,8.0,data/raw/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0005.flac
data/processed/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0006.wav,5.09,data/raw/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0006.flac
data/processed/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0007.wav,8.16,data/raw/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0007.flac
data/processed/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0008.wav,4.06,data/raw/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0008.flac
data/processed/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0009.wav,17.18,data/raw/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0009.flac
data/processed/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0010.wav,4.9,data/raw/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0010.flac
data/processed/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0011.wav,14.3,data/raw/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0011.flac
data/processed/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0012.wav,4.32,data/raw/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0012.flac
data/processed/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0013.wav,6.11,data/raw/speech/english/LibriSpeech/dev-clean/1272/128104/1272-128104-0013.flac
